timestamp,check_type,avg_latency_ms,jitter,packet_loss_pct,download_mbps,upload_mbps,alert_triggered,alert_reason
2026-04-05 23:21:31,ping,23,14,0,,,False,
2026-04-05 23:28:14,ping,28,37,0,,,False,
2026-04-05 23:33:23,ping,26,22,0,,,False,
2026-04-05 23:38:32,ping,25,14,0,,,False,
2026-04-05 23:43:42,ping,27,25,0,,,False,
2026-04-05 23:48:51,ping,25,12,0,,,False,
2026-04-05 23:54:00,ping,24,22,0,,,False,
2026-04-05 23:58:48,speed,,,,81.04,9.83,False,
2026-04-05 23:59:17,ping,25,11,0,,,False,
2026-04-06 00:04:26,ping,28,46,0,,,False,
2026-04-06 00:09:35,ping,27,46,0,,,False,
2026-04-06 00:14:44,ping,25,42,0,,,False,
2026-04-06 00:19:54,ping,25,11,0,,,False,
2026-04-06 00:25:03,ping,45,64,0,,,False,
2026-04-06 00:29:16,speed,,,,94.0,10.19,False,
2026-04-06 00:30:15,ping,23,16,0,,,False,
2026-04-06 00:35:24,ping,26,13,0,,,False,
2026-04-06 00:40:34,ping,30,27,0,,,False,
2026-04-06 00:45:43,ping,28,33,0,,,False,
2026-04-06 00:50:52,ping,26,20,0,,,False,
2026-04-06 00:56:01,ping,26,21,0,,,False,
2026-04-06 00:59:46,speed,,,,92.84,8.89,False,
2026-04-06 01:01:15,ping,23,18,0,,,False,
2026-04-06 01:06:25,ping,25,10,0,,,False,
2026-04-06 01:11:34,ping,24,14,0,,,False,
2026-04-06 01:16:43,ping,68,95,0,,,False,
2026-04-06 01:21:52,ping,26,12,0,,,False,
2026-04-06 01:27:02,ping,30,28,0,,,False,
2026-04-06 01:30:17,speed,,,,50.91,11.0,False,
2026-04-06 01:32:16,ping,25,17,0,,,False,
2026-04-06 01:37:26,ping,28,17,0,,,False,
2026-04-06 01:42:35,ping,27,21,0,,,False,
2026-04-06 01:47:44,ping,30,65,0,,,False,
2026-04-06 01:52:53,ping,25,14,0,,,False,
2026-04-06 01:58:02,ping,25,31,0,,,False,
2026-04-06 02:00:23,speed,,,,,,False,
2026-04-06 02:03:12,ping,22,10,0,,,False,
2026-04-06 02:08:21,ping,27,15,0,,,False,
2026-04-06 02:13:30,ping,24,12,0,,,False,
2026-04-06 02:18:39,ping,24,13,0,,,False,
2026-04-06 02:23:48,ping,33,58,0,,,False,
2026-04-06 02:28:58,ping,24,14,0,,,False,
2026-04-06 02:30:53,speed,,,,99.83,9.44,False,
2026-04-06 02:34:12,ping,23,15,0,,,False,
2026-04-06 02:39:21,ping,31,33,0,,,False,
2026-04-06 02:44:31,ping,25,10,0,,,False,
